Data,Hora (UTC),Temp. Ins. (C),Umi. Ins. (%)
2024-07-01,0,19.4,36.0
2024-07-01,100,15.2,55.0
2024-07-01,200,14.6,58.0
2024-07-01,300,18.3,46.0
2024-07-01,400,18.6,46.0
2024-07-01,500,14.0,66.0
2024-07-01,600,14.0,67.0
2024-07-01,700,16.1,59.0
2024-07-01,800,12.1,75.0
2024-07-01,900,11.9,77.0
2024-07-01,1000,11.3,81.0
2024-07-01,1100,19.4,49.0
2024-07-01,1200,22.0,38.0
2024-07-01,1300,22.8,40.0
2024-07-01,1400,24.7,34.0
2024-07-01,1500,25.6,30.0
2024-07-01,1600,26.2,27.0
2024-07-01,1700,27.3,24.0
2024-07-01,1800,26.8,25.0
2024-07-01,1900,26.9,25.0
2024-07-01,2000,24.8,30.0
2024-07-01,2100,20.5,48.0
2024-07-01,2200,18.4,53.0
2024-07-02,0,16.6,63.0
2024-07-02,100,15.5,67.0
2024-07-02,200,19.6,48.0
2024-07-02,300,18.5,52.0
2024-07-02,400,18.1,51.0
2024-07-02,500,18.4,50.0
2024-07-02,600,18.4,50.0
2024-07-02,700,17.0,55.0
2024-07-02,800,12.5,75.0
2024-07-02,900,13.0,69.0
2024-07-02,1000,11.1,83.0
2024-07-02,1100,17.4,58.0
2024-07-02,1200,19.7,50.0
2024-07-02,1300,20.7,49.0
2024-07-02,1400,22.4,45.0
2024-07-02,1500,24.1,39.0
2024-07-02,1600,25.1,31.0
2024-07-02,1700,25.0,34.0
2024-07-02,1800,25.8,28.0
2024-07-02,1900,24.7,30.0
2024-07-02,2000,24.0,33.0
2024-07-02,2100,21.7,39.0
2024-07-02,2200,20.0,47.0
2024-07-02,2300,18.9,53.0
2024-07-03,0,18.4,60.0
2024-07-03,100,17.4,65.0
2024-07-03,200,16.6,69.0
2024-07-03,300,12.7,87.0
2024-07-03,400,12.9,86.0
2024-07-03,500,16.4,70.0
2024-07-03,600,16.6,70.0
2024-07-03,700,16.1,75.0
2024-07-03,800,16.1,77.0
2024-07-03,900,15.8,81.0
2024-07-03,1000,16.2,82.0
2024-07-03,1100,17.4,78.0
2024-07-03,1200,19.2,71.0
2024-07-03,1300,20.5,66.0
2024-07-03,1400,21.8,60.0
2024-07-03,1500,22.4,55.0
2024-07-03,1600,23.3,52.0
2024-07-03,1700,23.9,48.0
2024-07-03,1800,24.5,45.0
2024-07-03,1900,24.6,41.0
2024-07-03,2000,23.6,42.0
2024-07-03,2100,21.7,50.0
2024-07-03,2200,21.4,52.0
2024-07-03,2300,21.1,55.0
2024-07-04,0,20.7,59.0
2024-07-04,100,19.6,64.0
2024-07-04,200,18.5,68.0
2024-07-04,300,18.5,67.0
2024-07-04,400,18.2,66.0
2024-07-04,500,17.9,67.0
2024-07-04,600,15.4,81.0
2024-07-04,700,13.9,87.0
2024-07-04,800,13.4,89.0
2024-07-04,900,12.9,91.0
2024-07-04,1000,12.7,91.0
2024-07-04,1100,17.3,72.0
2024-07-04,1200,19.5,59.0
2024-07-04,1300,21.8,50.0
2024-07-04,1400,22.5,45.0
2024-07-04,1500,23.4,41.0
2024-07-04,1600,23.7,40.0
2024-07-04,1700,25.2,37.0
2024-07-04,1800,24.9,37.0
2024-07-04,1900,24.7,34.0
2024-07-04,2000,24.3,37.0
2024-07-04,2100,21.8,47.0
2024-07-04,2200,20.0,54.0
2024-07-04,2300,19.8,54.0
2024-07-05,0,18.9,58.0
2024-07-05,100,18.1,61.0
2024-07-05,200,18.0,61.0
2024-07-05,300,17.0,65.0
2024-07-05,400,16.7,66.0
2024-07-05,500,15.7,69.0
2024-07-05,600,13.3,78.0
2024-07-05,700,12.2,86.0
2024-07-05,800,14.0,74.0
2024-07-05,900,12.3,89.0
2024-07-05,1000,14.2,78.0
2024-07-05,1100,17.3,64.0
2024-07-05,1200,18.7,60.0
2024-07-05,1300,21.4,53.0
2024-07-05,1400,22.1,48.0
2024-07-05,1500,24.2,45.0
2024-07-05,1600,24.7,39.0
2024-07-05,1700,24.8,39.0
2024-07-05,1800,26.0,35.0
2024-07-05,1900,25.4,36.0
2024-07-05,2000,24.8,38.0
2024-07-05,2100,22.7,45.0
2024-07-05,2200,21.6,50.0
2024-07-05,2300,20.6,55.0
2024-07-06,0,19.1,58.0
2024-07-06,100,19.0,60.0
2024-07-06,200,18.5,61.0
2024-07-06,300,17.6,65.0
2024-07-06,400,17.4,67.0
2024-07-06,500,17.2,69.0
2024-07-06,600,14.8,80.0
2024-07-06,700,12.7,89.0
2024-07-06,800,12.0,90.0
2024-07-06,900,11.4,91.0
2024-07-06,1000,13.6,83.0
2024-07-06,1100,17.9,70.0
2024-07-06,1200,20.9,56.0
2024-07-06,1300,22.2,52.0
2024-07-06,1400,23.7,49.0
2024-07-06,1500,24.3,44.0
2024-07-06,1600,25.2,40.0
2024-07-06,1700,25.6,40.0
2024-07-06,1800,26.3,36.0
2024-07-06,1900,26.2,33.0
2024-07-06,2000,25.6,37.0
2024-07-06,2100,23.0,47.0
2024-07-06,2200,21.5,51.0
2024-07-06,2300,21.4,52.0
2024-07-07,0,20.8,55.0
2024-07-07,100,19.5,60.0
2024-07-07,200,19.3,59.0
2024-07-07,300,19.0,63.0
2024-07-07,400,18.3,67.0
2024-07-07,500,14.0,85.0
2024-07-07,600,13.5,85.0
2024-07-07,700,15.9,78.0
2024-07-07,800,16.2,74.0
2024-07-07,900,17.1,69.0
2024-07-07,1000,16.6,72.0
2024-07-07,1100,18.9,65.0
2024-07-07,1200,21.5,53.0
2024-07-07,1300,23.4,43.0
2024-07-07,1400,24.6,31.0
2024-07-07,1500,26.0,26.0
2024-07-07,1600,26.5,24.0
2024-07-07,1700,27.6,21.0
2024-07-07,1800,27.1,20.0
2024-07-07,1900,27.3,20.0
2024-07-07,2000,26.7,23.0
2024-07-07,2100,20.8,43.0
2024-07-07,2200,20.7,40.0
2024-07-07,2300,18.1,55.0
2024-07-08,0,16.9,57.0
2024-07-08,100,16.5,58.0
2024-07-08,200,15.5,62.0
2024-07-08,300,14.5,67.0
2024-07-08,400,14.9,62.0
2024-07-08,500,15.0,62.0
2024-07-08,600,13.2,71.0
2024-07-08,700,13.5,69.0
2024-07-08,800,13.1,72.0
2024-07-08,900,13.4,74.0
2024-07-08,1000,12.7,78.0
2024-07-08,1100,18.6,58.0
2024-07-08,1200,22.5,44.0
2024-07-08,1300,25.1,35.0
2024-07-08,1400,26.3,30.0
2024-07-08,1500,26.9,26.0
2024-07-08,1600,27.3,26.0
2024-07-08,1700,28.4,23.0
2024-07-08,1800,28.0,24.0
2024-07-08,1900,27.7,25.0
2024-07-08,2000,26.9,27.0
2024-07-08,2100,23.8,34.0
2024-07-08,2200,20.8,44.0
2024-07-08,2300,18.6,50.0
2024-07-09,0,17.6,56.0
2024-07-09,100,16.1,65.0
2024-07-09,200,16.3,65.0
2024-07-09,300,16.6,63.0
2024-07-09,400,15.1,71.0
2024-07-09,500,14.9,70.0
2024-07-09,600,14.5,69.0
2024-07-09,700,14.6,69.0
2024-07-09,800,13.4,75.0
2024-07-09,900,13.3,75.0
2024-07-09,1000,13.8,73.0
2024-07-09,1100,18.6,59.0
2024-07-09,1200,22.9,41.0
2024-07-09,1300,23.8,39.0
2024-07-09,1400,25.9,34.0
2024-07-09,1500,27.3,30.0
2024-07-09,1600,27.2,29.0
2024-07-09,1700,27.4,29.0
2024-07-09,1800,27.7,29.0
2024-07-09,1900,27.6,28.0
2024-07-09,2000,27.2,29.0
2024-07-09,2100,24.8,35.0
2024-07-09,2200,23.2,38.0
2024-07-09,2300,22.2,43.0
2024-07-10,0,21.4,46.0
2024-07-10,100,17.0,65.0
2024-07-10,200,15.8,71.0
2024-07-10,300,15.4,71.0
2024-07-10,400,15.8,67.0
2024-07-10,500,15.0,71.0
2024-07-10,600,16.1,65.0
2024-07-10,700,16.6,64.0
2024-07-10,800,13.7,78.0
2024-07-10,900,14.2,76.0
2024-07-10,1100,18.7,60.0
2024-07-10,1200,23.2,43.0
2024-07-10,1300,24.9,38.0
2024-07-10,1400,26.3,34.0
2024-07-10,1500,26.5,32.0
2024-07-10,1600,27.4,31.0
2024-07-10,1700,28.3,27.0
2024-07-10,1800,28.3,25.0
2024-07-10,1900,28.3,26.0
2024-07-10,2000,27.4,29.0
2024-07-10,2100,24.1,36.0
2024-07-10,2200,21.6,44.0
2024-07-10,2300,21.8,45.0
2024-07-11,0,18.8,59.0
2024-07-11,100,16.4,69.0
2024-07-11,200,15.8,70.0
2024-07-11,300,16.1,67.0
2024-07-11,400,15.9,67.0
2024-07-11,500,15.7,68.0
2024-07-11,600,15.1,70.0
2024-07-11,900,14.6,68.0
2024-07-11,1000,14.0,76.0
2024-07-11,1100,21.7,46.0
2024-07-11,1200,22.9,42.0
2024-07-11,1300,24.5,38.0
2024-07-11,1400,25.9,33.0
2024-07-11,1500,27.8,30.0
2024-07-11,1600,27.7,28.0
2024-07-11,1700,28.1,27.0
2024-07-11,1800,28.0,29.0
2024-07-11,1900,28.1,26.0
2024-07-11,2000,26.9,27.0
2024-07-11,2100,24.9,31.0
2024-07-11,2200,23.6,34.0
2024-07-11,2300,22.8,37.0
2024-07-12,0,21.4,44.0
2024-07-12,100,20.5,49.0
2024-07-12,200,20.5,51.0
2024-07-12,300,17.1,64.0
2024-07-12,400,16.2,71.0
2024-07-12,500,18.9,57.0
2024-07-12,600,18.5,58.0
2024-07-12,700,17.6,62.0
2024-07-12,800,15.4,70.0
2024-07-12,900,13.0,84.0
2024-07-12,1000,12.9,84.0
2024-07-12,1100,18.7,63.0
2024-07-12,1200,20.0,61.0
2024-07-12,1300,21.7,58.0
2024-07-12,1400,23.3,52.0
2024-07-12,1500,25.4,43.0
2024-07-12,1600,26.2,34.0
2024-07-12,1700,26.7,31.0
2024-07-12,1800,26.9,31.0
2024-07-12,1900,26.7,31.0
2024-07-12,2000,25.8,33.0
2024-07-12,2100,23.6,39.0
2024-07-12,2200,22.6,41.0
2024-07-12,2300,21.4,46.0
2024-07-13,0,19.7,53.0
2024-07-13,100,20.3,52.0
2024-07-13,200,18.4,60.0
2024-07-13,300,14.9,75.0
2024-07-13,400,14.3,78.0
2024-07-13,500,13.9,79.0
2024-07-13,600,13.3,84.0
2024-07-13,700,16.3,72.0
2024-07-13,800,15.6,70.0
2024-07-13,900,15.7,64.0
2024-07-13,1000,14.9,67.0
2024-07-13,1100,16.5,60.0
2024-07-13,1200,17.9,58.0
2024-07-13,1300,18.6,56.0
2024-07-13,1400,20.6,52.0
2024-07-13,1500,21.7,46.0
2024-07-13,1600,23.0,39.0
2024-07-13,1700,23.5,33.0
2024-07-13,1800,24.1,32.0
2024-07-13,1900,23.3,32.0
2024-07-13,2000,22.9,32.0
2024-07-13,2100,20.9,34.0
2024-07-13,2200,19.4,43.0
2024-07-13,2300,18.9,45.0
2024-07-14,0,17.9,49.0
2024-07-14,100,17.5,54.0
2024-07-14,200,17.2,55.0
2024-07-14,300,16.7,54.0
2024-07-14,400,15.6,58.0
2024-07-14,500,15.6,58.0
2024-07-14,600,12.5,73.0
2024-07-14,700,11.4,78.0
2024-07-14,800,13.5,70.0
2024-07-14,900,14.3,66.0
2024-07-14,1000,14.7,67.0
2024-07-14,1100,15.8,64.0
2024-07-14,1200,17.5,60.0
2024-07-14,1300,19.7,53.0
2024-07-14,1400,21.0,47.0
2024-07-14,1500,22.4,41.0
2024-07-14,1600,23.5,38.0
2024-07-14,1700,23.6,35.0
2024-07-14,1800,23.7,35.0
2024-07-14,1900,24.0,36.0
2024-07-14,2000,23.1,38.0
2024-07-14,2100,21.4,43.0
2024-07-14,2200,19.7,52.0
2024-07-14,2300,19.1,53.0
2024-07-15,0,17.7,60.0
2024-07-15,100,17.2,60.0
2024-07-15,200,17.0,60.0
2024-07-15,300,16.0,62.0
2024-07-15,400,15.8,63.0
2024-07-15,500,15.6,63.0
2024-07-15,600,14.7,67.0
2024-07-15,700,14.3,68.0
2024-07-15,800,10.7,83.0
2024-07-15,900,10.4,85.0
2024-07-15,1000,9.9,88.0
2024-07-15,1100,16.7,61.0
2024-07-15,1200,18.7,53.0
2024-07-15,1300,20.8,48.0
2024-07-15,1400,21.5,42.0
2024-07-15,1500,22.4,42.0
2024-07-15,1600,23.5,39.0
2024-07-15,1700,23.8,37.0
2024-07-15,1800,24.6,33.0
2024-07-15,1900,23.9,33.0
2024-07-15,2000,23.4,36.0
2024-07-15,2100,21.3,44.0
2024-07-15,2200,19.9,50.0
2024-07-15,2300,18.8,56.0
2024-07-16,0,17.9,60.0
2024-07-16,100,18.1,57.0
2024-07-16,200,17.0,62.0
2024-07-16,300,16.6,63.0
2024-07-16,400,15.6,67.0
2024-07-16,500,12.3,81.0
2024-07-16,600,11.0,87.0
2024-07-16,700,14.3,72.0
2024-07-16,800,12.4,79.0
2024-07-16,900,15.0,68.0
2024-07-16,1000,14.8,69.0
2024-07-16,1100,17.1,60.0
2024-07-16,1200,19.0,58.0
2024-07-16,1300,20.1,51.0
2024-07-16,1400,21.7,45.0
2024-07-16,1500,22.9,41.0
2024-07-16,1600,23.7,35.0
2024-07-16,1700,24.5,35.0
2024-07-16,1800,24.8,33.0
2024-07-16,1900,24.8,34.0
2024-07-16,2000,24.2,35.0
2024-07-16,2100,22.0,43.0
2024-07-16,2200,20.6,46.0
2024-07-16,2300,19.9,48.0
2024-07-17,0,19.0,52.0
2024-07-17,100,18.6,56.0
2024-07-17,200,17.4,61.0
2024-07-17,300,17.2,62.0
2024-07-17,400,16.5,65.0
2024-07-17,600,13.9,79.0
2024-07-17,700,15.6,68.0
2024-07-17,800,14.7,73.0
2024-07-17,900,14.1,78.0
2024-07-17,1000,11.5,86.0
2024-07-17,1100,17.0,64.0
2024-07-17,1200,18.7,58.0
2024-07-17,1300,20.1,50.0
2024-07-17,1400,21.6,42.0
2024-07-17,1500,23.7,35.0
2024-07-17,1600,24.9,33.0
2024-07-17,1700,23.9,33.0
2024-07-17,1800,24.9,29.0
2024-07-17,1900,24.9,32.0
2024-07-17,2000,24.2,33.0
2024-07-17,2100,21.7,41.0
2024-07-17,2200,18.4,56.0
2024-07-17,2300,19.6,54.0
2024-07-18,100,17.8,58.0
2024-07-18,200,17.8,59.0
2024-07-18,300,17.5,61.0
2024-07-18,400,17.1,63.0
2024-07-18,500,16.6,64.0
2024-07-18,600,15.8,65.0
2024-07-18,700,15.0,66.0
2024-07-18,800,14.8,70.0
2024-07-18,900,14.9,68.0
2024-07-18,1000,15.1,66.0
2024-07-18,1100,18.1,56.0
2024-07-18,1200,19.8,51.0
2024-07-18,1300,21.5,46.0
2024-07-18,1400,22.5,41.0
2024-07-18,1500,23.7,35.0
2024-07-18,1600,24.1,35.0
2024-07-18,1700,25.8,31.0
2024-07-18,1800,25.7,30.0
2024-07-18,1900,25.0,32.0
2024-07-18,2000,24.7,34.0
2024-07-18,2100,22.4,41.0
2024-07-18,2200,20.8,48.0
2024-07-18,2300,19.6,51.0
2024-07-19,0,17.5,59.0
2024-07-19,100,18.1,56.0
2024-07-19,200,17.2,60.0
2024-07-19,300,16.3,66.0
2024-07-19,400,13.1,79.0
2024-07-19,500,13.4,79.0
2024-07-19,600,15.0,70.0
2024-07-19,700,15.2,70.0
2024-07-19,800,16.0,67.0
2024-07-19,900,15.7,67.0
2024-07-19,1000,14.7,70.0
2024-07-19,1100,17.1,61.0
2024-07-19,1200,19.1,54.0
2024-07-19,1300,20.5,47.0
2024-07-19,1400,22.2,42.0
2024-07-19,1500,23.6,36.0
2024-07-19,1600,24.0,34.0
2024-07-19,1700,24.6,34.0
2024-07-19,1800,25.0,33.0
2024-07-19,1900,24.6,31.0
2024-07-19,2000,24.5,32.0
2024-07-19,2100,22.0,40.0
2024-07-19,2200,19.7,49.0
2024-07-19,2300,19.1,52.0
2024-07-20,0,18.6,54.0
2024-07-20,100,18.3,56.0
2024-07-20,200,15.3,71.0
2024-07-20,300,17.0,60.0
2024-07-20,400,12.7,80.0
2024-07-20,500,12.0,81.0
2024-07-20,600,11.9,83.0
2024-07-20,700,11.0,85.0
2024-07-20,800,14.8,66.0
2024-07-20,900,14.5,67.0
2024-07-20,1000,14.6,66.0
2024-07-20,1100,16.3,60.0
2024-07-20,1200,17.8,55.0
2024-07-20,1300,20.3,48.0
2024-07-20,1400,22.0,40.0
2024-07-20,1500,23.2,35.0
2024-07-20,1600,23.5,33.0
2024-07-20,1700,24.6,28.0
2024-07-20,1800,25.0,29.0
2024-07-20,1900,24.8,29.0
2024-07-20,2000,24.2,31.0
2024-07-20,2100,21.6,36.0
2024-07-20,2200,19.9,42.0
2024-07-20,2300,19.2,45.0
2024-07-21,0,18.3,48.0
2024-07-21,100,18.2,50.0
2024-07-21,200,16.8,57.0
2024-07-21,300,14.7,64.0
2024-07-21,400,14.9,65.0
2024-07-21,500,15.6,59.0
2024-07-21,600,15.4,62.0
2024-07-21,700,15.4,63.0
2024-07-21,800,14.8,69.0
2024-07-21,900,14.3,76.0
2024-07-21,1000,13.7,80.0
2024-07-21,1100,16.6,69.0
2024-07-21,1200,18.1,62.0
2024-07-21,1300,19.9,55.0
2024-07-21,1400,21.5,45.0
2024-07-21,1500,23.4,36.0
2024-07-21,1600,23.3,35.0
2024-07-21,1700,24.0,33.0
2024-07-21,1800,24.1,32.0
2024-07-21,1900,23.8,34.0
2024-07-21,2000,23.1,36.0
2024-07-21,2100,21.2,41.0
2024-07-21,2200,19.6,48.0
2024-07-21,2300,19.3,50.0
2024-07-22,0,18.7,54.0
2024-07-22,100,17.9,59.0
2024-07-22,200,17.1,60.0
2024-07-22,300,16.7,60.0
2024-07-22,400,16.4,62.0
2024-07-22,500,16.0,62.0
2024-07-22,600,16.7,58.0
2024-07-22,700,15.1,63.0
2024-07-22,800,16.3,56.0
2024-07-22,900,16.1,54.0
2024-07-22,1000,15.4,56.0
2024-07-22,1100,18.7,47.0
2024-07-22,1200,18.9,51.0
2024-07-22,1300,20.4,46.0
2024-07-22,1400,22.0,42.0
2024-07-22,1500,23.9,39.0
2024-07-22,1600,23.7,38.0
2024-07-22,1700,24.1,35.0
2024-07-22,1800,24.5,35.0
2024-07-22,1900,24.1,34.0
2024-07-22,2000,23.3,37.0
2024-07-22,2100,21.7,42.0
2024-07-22,2200,20.3,48.0
2024-07-22,2300,19.5,52.0
2024-07-23,0,18.6,54.0
2024-07-23,100,18.3,54.0
2024-07-23,200,18.3,54.0
2024-07-23,300,16.8,60.0
2024-07-23,400,16.7,60.0
2024-07-23,500,16.6,61.0
2024-07-23,600,16.1,63.0
2024-07-23,700,16.1,63.0
2024-07-23,800,15.7,66.0
2024-07-23,900,15.6,65.0
2024-07-23,1000,15.5,67.0
2024-07-23,1100,18.3,57.0
2024-07-23,1200,20.0,49.0
2024-07-23,1300,21.4,41.0
2024-07-23,1400,21.8,41.0
2024-07-23,1500,23.2,36.0
2024-07-23,1600,24.6,31.0
2024-07-23,1700,24.5,30.0
2024-07-23,1800,24.9,29.0
2024-07-23,1900,25.5,25.0
2024-07-23,2000,24.3,27.0
2024-07-23,2100,22.2,32.0
2024-07-23,2200,20.8,36.0
2024-07-23,2300,19.7,42.0
2024-07-24,0,18.5,47.0
2024-07-24,100,18.4,50.0
2024-07-24,200,18.3,49.0
2024-07-24,300,18.2,49.0
2024-07-24,400,17.4,51.0
2024-07-24,500,16.3,56.0
2024-07-24,600,17.0,51.0
2024-07-24,700,16.1,55.0
2024-07-24,800,15.5,59.0
2024-07-24,900,15.4,62.0
2024-07-24,1000,14.9,65.0
2024-07-24,1100,15.9,59.0
2024-07-24,1200,18.3,54.0
2024-07-24,1300,20.5,49.0
2024-07-24,1400,22.4,41.0
2024-07-24,1500,23.1,37.0
2024-07-24,1600,24.6,32.0
2024-07-24,1700,25.3,30.0
2024-07-24,1800,25.5,30.0
2024-07-24,1900,25.4,29.0
2024-07-24,2000,25.0,29.0
2024-07-24,2100,22.7,34.0
2024-07-24,2200,20.4,43.0
2024-07-24,2300,19.7,43.0
2024-07-25,0,19.3,44.0
2024-07-25,100,17.9,50.0
2024-07-25,200,16.9,55.0
2024-07-25,300,16.9,55.0
2024-07-25,400,16.1,58.0
2024-07-25,500,15.6,60.0
2024-07-25,600,12.0,75.0
2024-07-25,700,11.4,80.0
2024-07-25,800,13.2,74.0
2024-07-25,900,14.0,66.0
2024-07-25,1000,10.7,77.0
2024-07-25,1100,16.8,56.0
2024-07-25,1200,18.1,51.0
2024-07-25,1300,19.4,47.0
2024-07-25,1400,21.7,39.0
2024-07-25,1500,22.8,33.0
2024-07-25,1600,23.5,33.0
2024-07-25,1700,23.7,30.0
2024-07-25,1800,24.6,27.0
2024-07-25,1900,25.1,26.0
2024-07-25,2000,24.3,28.0
2024-07-25,2100,21.8,35.0
2024-07-25,2200,20.4,41.0
2024-07-25,2300,19.0,45.0
2024-07-26,0,18.4,48.0
2024-07-26,100,17.7,50.0
2024-07-26,200,17.6,51.0
2024-07-26,300,16.4,55.0
2024-07-26,400,15.4,59.0
2024-07-26,500,15.1,60.0
2024-07-26,600,14.8,62.0
2024-07-26,700,13.5,65.0
2024-07-26,800,9.7,83.0
2024-07-26,900,9.8,84.0
2024-07-26,1000,9.5,87.0
2024-07-26,1100,16.6,61.0
2024-07-26,1200,19.6,46.0
2024-07-26,1300,21.9,36.0
2024-07-26,1400,22.7,35.0
2024-07-26,1500,24.5,31.0
2024-07-26,1600,25.0,30.0
2024-07-26,1700,25.9,26.0
2024-07-26,1800,26.8,25.0
2024-07-26,1900,26.5,26.0
2024-07-26,2000,25.7,27.0
2024-07-26,2100,23.4,32.0
2024-07-26,2200,21.5,38.0
2024-07-26,2300,20.6,41.0
2024-07-27,0,19.7,45.0
2024-07-27,100,19.2,47.0
2024-07-27,200,18.9,47.0
2024-07-27,300,18.0,51.0
2024-07-27,400,15.0,61.0
2024-07-27,500,13.6,70.0
2024-07-27,600,11.7,77.0
2024-07-27,700,12.0,75.0
2024-07-27,800,11.2,78.0
2024-07-27,900,13.4,73.0
2024-07-27,1000,11.9,78.0
2024-07-27,1100,18.1,59.0
2024-07-27,1200,19.7,63.0
2024-07-27,1300,21.4,63.0
2024-07-27,1400,22.7,57.0
2024-07-27,1500,22.5,58.0
2024-07-27,1600,24.5,48.0
2024-07-27,1700,24.8,42.0
2024-07-27,1800,25.6,38.0
2024-07-27,1900,24.3,41.0
2024-07-27,2000,25.2,36.0
2024-07-27,2100,23.7,42.0
2024-07-27,2200,20.9,53.0
2024-07-27,2300,22.2,54.0
2024-07-28,0,20.5,60.0
2024-07-28,100,18.8,68.0
2024-07-28,200,19.9,63.0
2024-07-28,300,18.9,66.0
2024-07-28,400,17.3,71.0
2024-07-28,500,17.6,70.0
2024-07-28,600,17.7,73.0
2024-07-28,700,17.3,72.0
2024-07-28,800,16.8,74.0
2024-07-28,900,16.7,73.0
2024-07-28,1000,14.0,92.0
2024-07-28,1100,18.6,68.0
2024-07-28,1200,19.7,60.0
2024-07-28,1300,21.6,55.0
2024-07-28,1400,23.1,50.0
2024-07-28,1500,24.5,41.0
2024-07-28,1600,25.5,37.0
2024-07-28,1700,25.7,35.0
2024-07-28,1800,26.7,32.0
2024-07-28,1900,26.3,33.0
2024-07-28,2000,25.7,33.0
2024-07-28,2100,23.6,40.0
2024-07-28,2200,22.3,44.0
2024-07-28,2300,21.4,47.0
2024-07-29,0,20.5,50.0
2024-07-29,100,19.8,52.0
2024-07-29,200,19.3,54.0
2024-07-29,300,14.8,73.0
2024-07-29,400,18.3,59.0
2024-07-29,500,15.3,70.0
2024-07-29,600,13.4,82.0
2024-07-29,700,15.3,71.0
2024-07-29,800,12.9,84.0
2024-07-29,900,14.3,74.0
2024-07-29,1000,16.0,69.0
2024-07-29,1100,19.6,54.0
2024-07-29,1200,21.4,48.0
2024-07-29,1300,23.7,42.0
2024-07-29,1400,24.5,39.0
2024-07-29,1500,26.3,33.0
2024-07-29,1600,26.2,31.0
2024-07-29,1700,26.8,30.0
2024-07-29,1800,28.1,27.0
2024-07-29,1900,26.9,29.0
2024-07-29,2000,26.3,31.0
2024-07-29,2100,24.9,35.0
2024-07-29,2200,20.4,54.0
2024-07-29,2300,20.4,52.0
2024-07-30,0,20.3,58.0
2024-07-30,100,19.6,63.0
2024-07-30,200,20.4,56.0
2024-07-30,300,21.5,49.0
2024-07-30,400,21.3,50.0
2024-07-30,500,20.7,52.0
2024-07-30,600,20.0,56.0
2024-07-30,700,20.0,57.0
2024-07-30,800,20.3,54.0
2024-07-30,900,20.1,56.0
2024-07-30,1000,17.3,72.0
2024-07-30,1100,21.1,54.0
2024-07-30,1200,22.8,48.0
2024-07-30,1300,23.7,43.0
2024-07-30,1400,25.8,37.0
2024-07-30,1500,26.5,35.0
2024-07-30,1600,27.9,29.0
2024-07-30,1700,26.4,32.0
2024-07-30,1800,27.5,28.0
2024-07-30,1900,27.1,28.0
2024-07-30,2000,26.9,28.0
2024-07-30,2100,22.6,39.0
2024-07-30,2200,23.2,36.0
2024-07-30,2300,19.3,52.0
2024-07-31,0,22.2,38.0
2024-07-31,100,21.1,40.0
2024-07-31,200,20.6,41.0
2024-07-31,300,19.5,44.0
2024-07-31,400,15.0,63.0
2024-07-31,500,18.0,53.0
2024-07-31,600,19.2,47.0
2024-07-31,700,18.3,49.0
2024-07-31,800,17.9,50.0
2024-07-31,900,17.4,54.0
2024-07-31,1000,18.3,51.0
2024-07-31,1100,19.2,48.0
2024-07-31,1200,20.2,47.0
2024-07-31,1300,21.7,45.0
2024-07-31,1400,23.6,42.0
2024-07-31,1500,25.7,37.0
2024-07-31,1600,26.0,32.0
2024-07-31,1700,26.7,30.0
2024-07-31,1800,26.5,29.0
2024-07-31,1900,25.3,32.0
2024-07-31,2000,25.0,34.0
2024-07-31,2100,23.3,39.0
2024-07-31,2200,22.3,42.0
2024-07-31,2300,21.1,46.0
2024-08-01,0,20.1,52.0
2024-08-01,100,19.7,55.0
2024-08-01,200,18.6,59.0
2024-08-01,300,18.0,63.0
2024-08-01,400,17.5,65.0
2024-08-01,500,16.9,67.0
2024-08-01,600,16.4,69.0
2024-08-01,700,15.8,72.0
2024-08-01,800,15.5,74.0
2024-08-01,900,14.9,78.0
2024-08-01,1000,14.5,83.0
2024-08-01,1100,16.0,78.0
2024-08-01,1200,17.5,74.0
2024-08-01,1300,19.4,66.0
2024-08-01,1400,22.2,57.0
2024-08-01,1500,23.7,45.0
2024-08-01,1600,25.4,39.0
2024-08-01,1700,24.9,35.0
2024-08-01,1800,25.2,32.0
2024-08-01,1900,25.7,29.0
2024-08-01,2000,23.8,32.0
2024-08-01,2100,22.6,43.0
2024-08-01,2200,21.4,51.0
2024-08-01,2300,20.8,53.0
2024-08-02,0,19.9,56.0
2024-08-02,100,19.2,59.0
2024-08-02,200,18.6,61.0
2024-08-02,300,17.8,63.0
2024-08-02,400,17.7,63.0
2024-08-02,500,16.5,68.0
2024-08-02,600,16.7,69.0
2024-08-02,700,16.1,72.0
2024-08-02,800,15.3,78.0
2024-08-02,900,15.1,82.0
2024-08-02,1000,14.8,89.0
2024-08-02,1100,15.6,87.0
2024-08-02,1200,16.7,82.0
2024-08-02,1300,17.8,76.0
2024-08-02,1400,18.7,71.0
2024-08-02,1500,20.0,65.0
2024-08-02,1600,21.4,57.0
2024-08-02,1700,22.9,47.0
2024-08-02,1800,22.8,45.0
2024-08-02,1900,23.7,42.0
2024-08-02,2000,23.6,45.0
2024-08-02,2100,21.7,50.0
2024-08-02,2200,20.4,54.0
2024-08-02,2300,20.8,57.0
2024-08-03,0,20.0,61.0
2024-08-03,100,19.1,64.0
2024-08-03,200,18.4,65.0
2024-08-03,300,17.8,67.0
2024-08-03,400,17.2,68.0
2024-08-03,500,17.2,69.0
2024-08-03,600,16.4,74.0
2024-08-03,700,15.9,79.0
